subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating,key_mapping,subject_id,study_id,session_id,test_mode,trial_index,target_id,target_filename,flanker_id,flanker_filename,correct_response,device_pixel_ratio
1,1,1,study,0,female,Black,male,Black,angry,,,,,z,1205,True,False,,1,,,,False,17,BF-213,materials/cfd/Images/CFD/BF-213/CFD-BF-213-188-N.jpg,BM-018,materials/cfd/Images/CFD/BM-018/CFD-BM-018-012-A.jpg,z,1
1,1,2,study,0,female,White,male,Black,happy,,,,,z,875,True,False,,1,,,,False,19,WF-207,materials/cfd/Images/CFD/WF-207/CFD-WF-207-014-N.jpg,BM-036,materials/cfd/Images/CFD/BM-036/CFD-BM-036-004-HO.jpg,z,1
1,1,3,study,0,female,Latino,male,Black,angry,,,,,z,753,True,False,,1,,,,False,21,LF-214,materials/cfd/Images/CFD/LF-214/CFD-LF-214-090-N.jpg,BM-025,materials/cfd/Images/CFD/BM-025/CFD-BM-025-045-A.jpg,z,1
1,1,4,study,0,female,Black,male,Black,neutral,,,,,z,808,True,False,,1,,,,False,23,BF-212,materials/cfd/Images/CFD/BF-212/CFD-BF-212-315-N.jpg,BM-204,materials/cfd/Images/CFD/BM-204/CFD-BM-204-003-N.jpg,z,1
1,1,5,study,0,female,White,female,Black,neutral,,,,,z,723,True,False,,1,,,,False,25,WF-238,materials/cfd/Images/CFD/WF-238/CFD-WF-238-023-N.jpg,BF-228,materials/cfd/Images/CFD/BF-228/CFD-BF-228-212-N.jpg,z,1
1,1,6,study,0,male,White,male,White,angry,,,,,m,925,True,False,,1,,,,False,27,WM-250,materials/cfd/Images/CFD/WM-250/CFD-WM-250-157-N.jpg,WM-010,materials/cfd/Images/CFD/WM-010/CFD-WM-010-016-A.jpg,m,1
1,1,7,study,0,male,Asian,female,White,neutral,,,,,m,765,True,False,,1,,,,False,29,AM-230,materials/cfd/Images/CFD/AM-230/CFD-AM-230-150-N.jpg,WF-219,materials/cfd/Images/CFD/WF-219/CFD-WF-219-038-N.jpg,m,1
1,1,8,study,0,female,Asian,male,White,neutral,,,,,z,1286,True,False,,1,,,,False,31,AF-214,materials/cfd/Images/CFD/AF-214/CFD-AF-214-139-N.jpg,WM-225,materials/cfd/Images/CFD/WM-225/CFD-WM-225-127-N.jpg,z,1
1,1,9,study,0,male,Latino,female,Black,neutral,,,,,m,840,True,False,,1,,,,False,33,LM-202,materials/cfd/Images/CFD/LM-202/CFD-LM-202-072-N.jpg,BF-034,materials/cfd/Images/CFD/BF-034/CFD-BF-034-002-N.jpg,m,1
1,1,10,study,0,female,Asian,female,Black,happy,,,,,z,1095,True,False,,1,,,,False,35,AF-254,materials/cfd/Images/CFD/AF-254/CFD-AF-254-167-N.jpg,BF-029,materials/cfd/Images/CFD/BF-029/CFD-BF-029-005-HO.jpg,z,1
1,1,11,study,0,male,Asian,female,Black,happy,,,,,m,781,True,False,,1,,,,False,37,AM-209,materials/cfd/Images/CFD/AM-209/CFD-AM-209-048-N.jpg,BF-001,materials/cfd/Images/CFD/BF-001/CFD-BF-001-018-HO.jpg,m,1
1,1,12,study,0,male,Black,male,Black,happy,,,,,m,1682,True,False,,1,,,,False,39,BM-244,materials/cfd/Images/CFD/BM-244/CFD-BM-244-197-N.jpg,BM-023,materials/cfd/Images/CFD/BM-023/CFD-BM-023-006-HO.jpg,m,1
1,1,13,study,0,female,White,male,Black,angry,,,,,z,887,True,False,,1,,,,False,41,WF-009,materials/cfd/Images/CFD/WF-009/CFD-WF-009-001-N.jpg,BM-019,materials/cfd/Images/CFD/BM-019/CFD-BM-019-045-A.jpg,z,1
1,1,14,study,0,female,White,female,Black,angry,,,,,z,710,True,False,,1,,,,False,43,WF-011,materials/cfd/Images/CFD/WF-011/CFD-WF-011-002-N.jpg,BF-041,materials/cfd/Images/CFD/BF-041/CFD-BF-041-047-A.jpg,z,1
1,1,15,study,0,female,Black,female,White,happy,,,,,z,815,True,False,,1,,,,False,45,BF-033,materials/cfd/Images/CFD/BF-033/CFD-BF-033-028-N.jpg,WF-019,materials/cfd/Images/CFD/WF-019/CFD-WF-019-035-HO.jpg,z,1
1,1,16,study,0,male,Latino,female,White,happy,,,,,m,926,True,False,,1,,,,False,47,LM-241,materials/cfd/Images/CFD/LM-241/CFD-LM-241-125-N.jpg,WF-017,materials/cfd/Images/CFD/WF-017/CFD-WF-017-015-HO.jpg,m,1
1,1,17,study,0,female,White,female,Black,angry,,,,,z,1039,True,False,,1,,,,False,49,WF-020,materials/cfd/Images/CFD/WF-020/CFD-WF-020-002-N.jpg,BF-017,materials/cfd/Images/CFD/BF-017/CFD-BF-017-011-A.jpg,z,1
1,1,18,study,0,male,Asian,male,Black,happy,,,,,m,822,True,False,,1,,,,False,51,AM-223,materials/cfd/Images/CFD/AM-223/CFD-AM-223-138-N.jpg,BM-015,materials/cfd/Images/CFD/BM-015/CFD-BM-015-016-HO.jpg,m,1
1,1,19,study,0,female,Black,male,Black,happy,,,,,z,895,True,False,,1,,,,False,53,BF-246,materials/cfd/Images/CFD/BF-246/CFD-BF-246-170-N.jpg,BM-024,materials/cfd/Images/CFD/BM-024/CFD-BM-024-061-HO.jpg,z,1
