subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating
1,1,1,study,0,male,Latino,female,White,happy,,,,,m,875,True,False,
1,1,2,study,0,female,Latino,female,White,happy,,,,,z,1880,True,False,
1,1,3,study,0,male,Asian,female,White,neutral,,,,,m,854,True,False,
1,1,4,study,0,male,White,male,White,neutral,,,,,m,740,True,False,
1,1,5,study,0,female,Asian,male,White,angry,,,,,z,859,True,False,
1,1,6,study,0,female,Black,female,Black,angry,,,,,z,1103,True,False,
1,1,7,study,0,male,Black,female,Black,happy,,,,,m,730,True,False,
1,1,8,study,0,male,White,male,White,angry,,,,,m,905,True,False,
1,1,9,study,0,male,Black,male,Black,happy,,,,,m,929,True,False,
1,1,10,study,0,male,White,female,Black,happy,,,,,m,767,True,False,
1,1,11,study,0,male,White,male,Black,angry,,,,,m,626,True,False,
1,1,12,study,0,female,Black,female,Black,neutral,,,,,z,929,True,False,
1,1,13,study,0,female,Asian,male,White,happy,,,,,z,800,True,False,
1,1,14,study,0,female,Black,male,Black,neutral,,,,,z,813,True,False,
1,1,15,study,0,female,White,male,Black,happy,,,,,z,676,True,False,
1,1,16,study,0,female,Asian,male,White,happy,,,,,z,799,True,False,
1,1,17,study,0,male,Black,female,White,angry,,,,,m,840,True,False,
1,1,18,study,0,female,Black,female,Black,happy,,,,,z,1070,True,False,
1,1,19,study,0,female,Asian,male,White,neutral,,,,,z,2000,True,False,
1,1,20,study,0,male,White,female,Black,happy,,,,,m,686,True,False,
1,1,21,study,0,female,Latino,female,Black,happy,,,,,z,729,True,False,
1,1,22,study,0,male,Black,female,White,neutral,,,,,m,671,True,False,
1,1,23,study,0,male,Asian,male,Black,happy,,,,,m,685,True,False,
1,1,24,study,0,female,Asian,male,White,neutral,,,,,z,796,True,False,
1,1,25,study,0,male,Black,male,White,neutral,,,,,m,886,True,False,
1,1,26,study,0,male,Black,female,Black,neutral,,,,,m,764,True,False,
1,1,27,study,0,male,White,female,White,angry,,,,,m,815,True,False,
1,1,28,study,0,male,Black,male,White,neutral,,,,,m,989,True,False,
1,1,29,study,0,female,Asian,female,White,happy,,,,,z,711,True,False,
1,1,30,study,0,female,Black,female,Black,angry,,,,,z,777,True,False,
1,1,31,study,1,male,White,male,White,angry,,,,,m,717,True,False,
1,1,32,study,1,female,Asian,female,White,neutral,,,,,z,679,True,False,
1,1,33,study,1,female,White,female,White,neutral,,,,,z,744,True,False,
1,1,34,study,1,female,White,male,White,angry,,,,,z,940,True,False,
1,1,35,study,1,male,White,female,White,neutral,,,,,m,803,True,False,
1,1,36,study,1,female,Latino,male,Black,happy,,,,,z,910,True,False,
1,1,37,study,1,female,Black,male,Black,angry,,,,,m,2332,False,False,
1,1,38,study,1,male,Latino,female,White,neutral,,,,,m,1262,True,False,
1,1,39,study,1,female,White,male,Black,angry,,,,,z,888,True,False,
1,1,40,study,1,female,Asian,female,White,angry,,,,,z,2359,True,False,
1,1,41,study,1,male,Black,female,White,angry,,,,,m,1093,True,False,
1,1,42,study,1,female,White,female,Black,happy,,,,,z,1178,True,False,
1,1,43,study,1,male,Latino,male,White,happy,,,,,m,769,True,False,
1,1,44,study,1,female,Black,female,White,neutral,,,,,z,1076,True,False,
1,1,45,study,1,female,Black,female,White,neutral,,,,,z,1210,True,False,
1,1,46,study,1,female,Black,male,Black,neutral,,,,,z,1115,True,False,
1,1,47,study,1,male,White,male,White,happy,,,,,m,831,True,False,
1,1,48,study,1,male,Black,female,Black,angry,,,,,m,1817,True,False,
1,1,49,study,1,male,Black,male,Black,neutral,,,,,m,766,True,False,
1,1,50,study,1,male,White,male,White,angry,,,,,m,1140,True,False,
1,1,51,study,1,male,White,male,Black,happy,,,,,m,923,True,False,
1,1,52,study,1,female,Asian,male,Black,happy,,,,,z,841,True,False,
1,1,53,study,1,male,Black,female,White,angry,,,,,m,1131,True,False,
1,1,54,study,1,female,Black,male,White,angry,,,,,z,936,True,False,
1,1,55,study,1,female,Black,male,White,neutral,,,,,z,622,True,False,
1,1,56,study,1,female,Black,female,Black,angry,,,,,z,1000,True,False,
1,1,57,study,1,male,White,male,Black,neutral,,,,,m,1124,True,False,
1,1,58,study,1,male,Latino,female,White,happy,,,,,m,695,True,False,
1,1,59,study,1,male,Latino,male,White,angry,,,,,m,909,True,False,
1,1,60,study,1,female,Black,female,White,angry,,,,,z,1512,True,False,
1,1,61,test,0,female,Latino,,,,new,,,,m,1116,True,False,
1,1,62,test,0,male,Black,,,,old,angry,female,,z,1271,True,False,
1,1,63,test,0,female,Black,,,,old,neutral,female,,z,1405,True,False,
1,1,64,test,0,male,Asian,,,,new,,,,z,1497,False,False,
1,1,65,test,0,male,Black,,,,new,,,,m,1455,True,False,
1,1,66,test,0,male,Black,,,,old,happy,male,,z,1228,True,False,
1,1,67,test,0,male,White,,,,old,happy,male,,z,1430,True,False,
1,1,68,test,0,male,Latino,,,,new,,,,m,955,True,False,
1,1,69,test,0,male,Latino,,,,old,happy,female,,m,1357,False,False,
1,1,70,test,0,male,White,,,,new,,,,m,2069,True,False,
1,1,71,test,0,female,Black,,,,old,neutral,female,,z,1312,True,False,
1,1,72,test,0,female,Black,,,,old,angry,female,,z,1545,True,False,
1,1,73,test,0,male,Black,,,,old,angry,female,,m,2557,False,False,
1,1,74,test,0,female,White,,,,old,happy,male,,z,1555,True,False,
1,1,75,test,0,female,Latino,,,,new,,,,m,2209,True,False,
1,1,76,test,0,male,Latino,,,,new,,,,m,1118,True,False,
1,1,77,test,0,male,Black,,,,new,,,,z,1812,False,False,
1,1,78,test,0,male,Black,,,,new,,,,,,False,True,
1,1,79,test,0,male,Latino,,,,old,angry,male,,m,1266,False,False,
1,1,80,test,0,male,Black,,,,old,angry,female,,z,1284,True,False,
1,1,81,test,0,female,Asian,,,,old,angry,female,,z,1257,True,False,
1,1,82,test,0,male,Asian,,,,new,,,,z,2001,False,False,
1,1,83,test,0,female,Black,,,,old,angry,female,,z,1360,True,False,
1,1,84,test,0,male,Black,,,,new,,,,m,1736,True,False,
1,1,85,test,0,male,White,,,,new,,,,m,2071,True,False,
1,1,86,test,0,female,Asian,,,,old,happy,male,,z,801,True,False,
1,1,87,test,0,female,Latino,,,,new,,,,m,881,True,False,
1,1,88,test,0,female,Latino,,,,new,,,,m,626,True,False,
1,1,89,test,0,male,Black,,,,old,neutral,male,,m,1149,False,False,
1,1,90,test,0,female,Black,,,,new,,,,m,940,True,False,
1,1,91,test,0,male,White,,,,old,angry,male,,m,652,False,False,
1,1,92,test,0,male,Latino,,,,new,,,,z,1352,False,False,
1,1,93,test,0,male,Black,,,,old,happy,female,,m,1097,False,False,
1,1,94,test,0,female,Black,,,,new,,,,m,1019,True,False,
1,1,95,test,0,female,Latino,,,,new,,,,z,2081,False,False,
1,1,96,test,0,male,Asian,,,,new,,,,m,825,True,False,
1,1,97,test,0,female,Black,,,,new,,,,z,1280,False,False,
1,1,98,test,0,male,Black,,,,old,neutral,male,,z,804,True,False,
1,1,99,test,0,female,White,,,,new,,,,m,1033,True,False,
1,1,100,test,0,female,Black,,,,old,neutral,female,,z,1784,True,False,
1,1,101,test,1,female,Asian,,,,old,happy,male,,z,1303,True,False,
1,1,102,test,1,female,White,,,,old,angry,male,,z,967,True,False,
1,1,103,test,1,male,White,,,,old,happy,female,,m,1077,False,False,
1,1,104,test,1,male,Latino,,,,new,,,,m,2477,True,False,
1,1,105,test,1,female,Asian,,,,old,neutral,female,,m,1700,False,False,
1,1,106,test,1,male,White,,,,new,,,,m,2104,True,False,
1,1,107,test,1,female,White,,,,old,happy,female,,z,1500,True,False,
1,1,108,test,1,female,White,,,,old,neutral,female,,z,2011,True,False,
1,1,109,test,1,female,Asian,,,,new,,,,m,2800,True,False,
1,1,110,test,1,male,White,,,,old,neutral,male,,m,1861,False,False,
1,1,111,test,1,female,White,,,,new,,,,m,1763,True,False,
1,1,112,test,1,female,Asian,,,,old,neutral,male,,z,1184,True,False,
1,1,113,test,1,female,White,,,,new,,,,z,1645,False,False,
1,1,114,test,1,male,White,,,,old,angry,male,,z,1211,True,False,
1,1,115,test,1,male,White,,,,old,angry,male,,m,1984,False,False,
1,1,116,test,1,female,Black,,,,old,angry,female,,m,1405,False,False,
1,1,117,test,1,male,Asian,,,,new,,,,m,2304,True,False,
1,1,118,test,1,male,Latino,,,,new,,,,m,2687,True,False,
1,1,119,test,1,male,White,,,,new,,,,m,2645,True,False,
1,1,120,test,1,male,Latino,,,,old,neutral,female,,,,False,True,
1,1,121,test,1,male,Latino,,,,old,happy,male,,m,894,False,False,
1,1,122,test,1,female,Black,,,,old,happy,female,,z,1768,True,False,
1,1,123,test,1,female,White,,,,new,,,,z,936,False,False,
1,1,124,test,1,male,Asian,,,,new,,,,m,884,True,False,
1,1,125,test,1,female,White,,,,new,,,,m,641,True,False,
1,1,126,test,1,male,White,,,,new,,,,z,1225,False,False,
1,1,127,test,1,male,Latino,,,,new,,,,m,1013,True,False,
1,1,128,test,1,female,Latino,,,,old,happy,female,,z,853,True,False,
1,1,129,test,1,female,Latino,,,,old,happy,male,,m,971,False,False,
1,1,130,test,1,female,Black,,,,new,,,,m,969,True,False,
1,1,131,test,1,female,Black,,,,new,,,,m,1459,True,False,
1,1,132,test,1,male,Black,,,,old,neutral,female,,z,1140,True,False,
1,1,133,test,1,male,Asian,,,,old,neutral,female,,z,1109,True,False,
1,1,134,test,1,female,Asian,,,,old,neutral,male,,z,1241,True,False,
1,1,135,test,1,male,White,,,,old,angry,male,,z,1151,True,False,
1,1,136,test,1,female,Black,,,,old,angry,male,,z,984,True,False,
1,1,137,test,1,male,Latino,,,,new,,,,m,1365,True,False,
1,1,138,test,1,male,Black,,,,old,neutral,male,,m,1045,False,False,
1,1,139,test,1,male,Black,,,,old,neutral,female,,m,1160,False,False,
1,1,140,test,1,male,Black,,,,old,angry,female,,m,2505,False,False,
1,1,141,test,2,female,Asian,,,,old,happy,female,,z,2131,True,False,
1,1,142,test,2,male,Black,,,,new,,,,m,720,True,False,
1,1,143,test,2,female,Latino,,,,new,,,,m,832,True,False,
1,1,144,test,2,male,White,,,,old,happy,female,,m,1918,False,False,
1,1,145,test,2,female,Black,,,,new,,,,m,911,True,False,
1,1,146,test,2,male,Asian,,,,new,,,,m,1871,True,False,
1,1,147,test,2,male,White,,,,old,neutral,male,,m,817,False,False,
1,1,148,test,2,female,White,,,,new,,,,z,1161,False,False,
1,1,149,test,2,male,White,,,,new,,,,m,1016,True,False,
1,1,150,test,2,female,Latino,,,,new,,,,m,1025,True,False,
1,1,151,test,2,female,Black,,,,old,angry,male,,z,1464,True,False,
1,1,152,test,2,female,Asian,,,,old,angry,male,,z,937,True,False,
1,1,153,test,2,male,White,,,,old,angry,female,,m,1019,False,False,
1,1,154,test,2,female,Black,,,,old,neutral,male,,m,2800,False,False,
1,1,155,test,2,female,Asian,,,,old,happy,male,,z,1201,True,False,
1,1,156,test,2,male,Asian,,,,new,,,,m,876,True,False,
1,1,157,test,2,male,Black,,,,new,,,,m,1320,True,False,
1,1,158,test,2,male,Black,,,,new,,,,m,1024,True,False,
1,1,159,test,2,female,White,,,,old,angry,male,,m,1062,False,False,
1,1,160,test,2,female,Latino,,,,new,,,,z,1744,False,False,
1,1,161,test,2,male,Asian,,,,new,,,,m,920,True,False,
1,1,162,test,2,female,Black,,,,new,,,,m,1165,True,False,
1,1,163,test,2,male,Black,,,,new,,,,m,793,True,False,
1,1,164,test,2,female,Asian,,,,new,,,,m,1057,True,False,
1,1,165,test,2,male,White,,,,old,neutral,female,,,,False,True,
1,1,166,test,2,female,Black,,,,old,neutral,male,,m,1128,False,False,
1,1,167,test,2,female,Latino,,,,new,,,,m,2980,True,False,
1,1,168,test,2,female,Black,,,,new,,,,,,False,True,
1,1,169,test,2,female,Black,,,,new,,,,z,1107,False,False,
1,1,170,test,2,male,Asian,,,,old,happy,male,,m,980,False,False,
1,1,171,test,2,female,Latino,,,,old,happy,female,,m,1412,False,False,
1,1,172,test,2,male,White,,,,old,happy,male,,m,1649,False,False,
1,1,173,test,2,male,Black,,,,new,,,,z,1716,False,False,
1,1,174,test,2,female,White,,,,new,,,,z,1528,False,False,
1,1,175,test,2,female,Asian,,,,new,,,,m,1847,True,False,
1,1,176,test,2,female,Black,,,,old,neutral,male,,m,2019,False,False,
1,1,177,test,2,female,Black,,,,old,angry,female,,z,1048,True,False,
