subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating,key_mapping,subject_id,study_id,session_id,test_mode,trial_index,target_id,target_filename,flanker_id,flanker_filename,correct_response,device_pixel_ratio
1,2,21,study,0,female,Asian,male,Black,neutral,,,,,,,False,True,,2,,,,False,57,AF-253,materials/cfd/Images/CFD/AF-253/CFD-AF-253-130-N.jpg,BM-218,materials/cfd/Images/CFD/BM-218/CFD-BM-218-132-N.jpg,z,2
1,2,22,study,0,female,Black,female,White,neutral,,,,,m,1083,False,False,,2,,,,False,59,BF-034,materials/cfd/Images/CFD/BF-034/CFD-BF-034-002-N.jpg,WF-239,materials/cfd/Images/CFD/WF-239/CFD-WF-239-155-N.jpg,z,2
1,2,23,study,0,male,White,male,Black,angry,,,,,m,1156,True,False,,2,,,,False,61,WM-209,materials/cfd/Images/CFD/WM-209/CFD-WM-209-038-N.jpg,BM-043,materials/cfd/Images/CFD/BM-043/CFD-BM-043-014-A.jpg,m,2
1,2,24,study,0,female,Asian,male,Black,neutral,,,,,z,1703,True,False,,2,,,,False,63,AF-202,materials/cfd/Images/CFD/AF-202/CFD-AF-202-122-N.jpg,BM-018,materials/cfd/Images/CFD/BM-018/CFD-BM-018-001-N.jpg,z,2
1,2,25,study,0,female,Latino,male,Black,happy,,,,,z,1339,True,False,,2,,,,False,65,LF-220,materials/cfd/Images/CFD/LF-220/CFD-LF-220-120-N.jpg,BM-011,materials/cfd/Images/CFD/BM-011/CFD-BM-011-017-HO.jpg,z,2
1,2,26,study,0,male,Black,male,White,happy,,,,,m,1294,True,False,,2,,,,False,67,BM-034,materials/cfd/Images/CFD/BM-034/CFD-BM-034-031-N.jpg,WM-037,materials/cfd/Images/CFD/WM-037/CFD-WM-037-034-HO.jpg,m,2
1,2,27,study,0,male,Latino,male,White,neutral,,,,,m,1020,True,False,,2,,,,False,69,LM-209,materials/cfd/Images/CFD/LM-209/CFD-LM-209-111-N.jpg,WM-251,materials/cfd/Images/CFD/WM-251/CFD-WM-251-002-N.jpg,m,2
1,2,28,study,0,male,White,male,White,happy,,,,,m,1244,True,False,,2,,,,False,71,WM-201,materials/cfd/Images/CFD/WM-201/CFD-WM-201-063-N.jpg,WM-009,materials/cfd/Images/CFD/WM-009/CFD-WM-009-004-HO.jpg,m,2
1,2,29,study,0,female,White,male,Black,happy,,,,,z,1591,True,False,,2,,,,False,73,WF-238,materials/cfd/Images/CFD/WF-238/CFD-WF-238-023-N.jpg,BM-038,materials/cfd/Images/CFD/BM-038/CFD-BM-038-007-HO.jpg,z,2
1,2,30,study,0,female,White,male,Black,neutral,,,,,z,2116,True,False,,2,,,,False,75,WF-242,materials/cfd/Images/CFD/WF-242/CFD-WF-242-001-N.jpg,BM-248,materials/cfd/Images/CFD/BM-248/CFD-BM-248-128-N.jpg,z,2
1,2,31,study,1,male,Latino,female,Black,happy,,,,,m,756,True,False,,2,,,,False,78,LM-226,materials/cfd/Images/CFD/LM-226/CFD-LM-226-175-N.jpg,BF-015,materials/cfd/Images/CFD/BF-015/CFD-BF-015-006-HO.jpg,m,2
1,2,32,study,1,female,Black,male,White,neutral,,,,,z,1399,True,False,,2,,,,False,80,BF-246,materials/cfd/Images/CFD/BF-246/CFD-BF-246-170-N.jpg,WM-250,materials/cfd/Images/CFD/WM-250/CFD-WM-250-157-N.jpg,z,2
1,2,33,study,1,female,Black,male,Black,happy,,,,,z,1366,True,False,,2,,,,False,82,BF-042,materials/cfd/Images/CFD/BF-042/CFD-BF-042-026-N.jpg,BM-039,materials/cfd/Images/CFD/BM-039/CFD-BM-039-034-HO.jpg,z,2
