subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating
1,2,1,study,0,female,Asian,female,White,neutral,,,,,z,700,True,False,
1,2,2,study,0,female,Black,male,Black,neutral,,,,,,,False,True,
1,2,3,study,0,male,Black,male,White,angry,,,,,,,False,True,
1,2,4,study,0,male,White,female,White,neutral,,,,,z,703,False,False,
1,2,5,study,0,female,White,male,Black,happy,,,,,,,False,True,
1,2,6,study,0,male,White,female,Black,neutral,,,,,z,1654,False,False,
1,2,7,study,0,female,Asian,female,White,happy,,,,,z,1343,True,False,
1,2,8,study,0,male,White,female,White,angry,,,,,z,2716,False,False,
1,2,9,study,0,male,White,female,White,neutral,,,,,z,2506,False,False,
1,2,10,study,0,female,Asian,male,Black,neutral,,,,,m,2257,False,False,
1,2,11,study,0,male,White,male,White,happy,,,,,m,1123,True,False,
1,2,12,study,0,male,Asian,female,Black,angry,,,,,z,1339,False,False,
1,2,13,study,0,male,Asian,female,White,angry,,,,,m,667,True,False,
1,2,14,study,0,female,Asian,female,White,neutral,,,,,z,895,True,False,
1,2,15,study,0,female,Asian,male,Black,happy,,,,,m,835,False,False,
1,2,16,study,0,male,White,male,White,neutral,,,,,z,1031,False,False,
1,2,17,study,0,female,Latino,male,Black,happy,,,,,m,2345,False,False,
1,2,18,study,0,female,Black,female,White,happy,,,,,z,1015,True,False,
1,2,19,study,0,male,White,male,Black,angry,,,,,m,1165,True,False,
1,2,20,study,0,male,Asian,female,Black,neutral,,,,,z,1682,False,False,
1,2,21,study,0,female,Latino,male,Black,angry,,,,,m,1095,False,False,
1,2,22,study,0,female,Black,male,Black,neutral,,,,,,,False,True,
1,2,23,study,0,female,Latino,female,White,angry,,,,,z,534,True,False,
1,2,24,study,0,male,Latino,male,Black,happy,,,,,m,673,True,False,
1,2,25,study,0,female,Black,female,Black,happy,,,,,z,769,True,False,
1,2,26,study,0,female,Latino,male,Black,angry,,,,,z,1618,True,False,
1,2,27,study,0,male,Asian,female,White,happy,,,,,z,2079,False,False,
1,2,28,study,0,female,Black,female,Black,neutral,,,,,z,1184,True,False,
1,2,29,study,0,female,White,male,Black,happy,,,,,m,840,False,False,
1,2,30,study,0,male,Black,female,White,happy,,,,,z,1462,False,False,
1,2,31,study,1,male,Black,female,White,happy,,,,,z,1383,False,False,
1,2,32,study,1,female,Asian,female,Black,happy,,,,,z,2077,True,False,
1,2,33,study,1,male,White,female,White,neutral,,,,,z,1530,False,False,
1,2,34,study,1,female,Black,female,Black,angry,,,,,z,1261,True,False,
1,2,35,study,1,female,Latino,male,Black,neutral,,,,,m,1044,False,False,
1,2,36,study,1,female,Black,female,Black,angry,,,,,z,638,True,False,
1,2,37,study,1,male,Latino,male,White,neutral,,,,,z,822,False,False,
1,2,38,study,1,female,Black,female,White,neutral,,,,,z,798,True,False,
1,2,39,study,1,male,Black,male,Black,happy,,,,,m,803,True,False,
1,2,40,study,1,male,White,male,Black,neutral,,,,,m,694,True,False,
1,2,41,study,1,male,White,male,White,happy,,,,,m,1093,True,False,
1,2,42,study,1,male,Latino,male,White,angry,,,,,m,1115,True,False,
1,2,43,study,1,male,White,female,Black,angry,,,,,z,1266,False,False,
1,2,44,study,1,male,Asian,male,Black,neutral,,,,,m,1018,True,False,
1,2,45,study,1,female,Latino,female,Black,angry,,,,,z,1198,True,False,
1,2,46,study,1,female,Latino,male,White,angry,,,,,m,1010,False,False,
1,2,47,study,1,female,Black,female,White,angry,,,,,z,1215,True,False,
1,2,48,study,1,male,Black,female,White,angry,,,,,z,1412,False,False,
1,2,49,study,1,male,Black,male,Black,happy,,,,,m,1260,True,False,
1,2,50,study,1,female,Black,female,Black,happy,,,,,z,1202,True,False,
1,2,51,study,1,male,Black,male,Black,angry,,,,,m,1103,True,False,
1,2,52,study,1,female,White,female,White,neutral,,,,,z,932,True,False,
1,2,53,study,1,male,White,male,Black,neutral,,,,,m,736,True,False,
1,2,54,study,1,male,White,female,Black,happy,,,,,z,889,False,False,
1,2,55,study,1,male,Asian,female,White,happy,,,,,z,1502,False,False,
1,2,56,study,1,female,Black,male,White,angry,,,,,m,1515,False,False,
1,2,57,study,1,female,Asian,male,White,happy,,,,,m,2911,False,False,
1,2,58,study,1,female,Black,male,Black,angry,,,,,m,1687,False,False,
1,2,59,study,1,male,White,male,White,angry,,,,,m,1122,True,False,
1,2,60,study,1,female,White,male,White,neutral,,,,,m,2919,False,False,
1,2,61,study,0,male,Asian,female,White,happy,,,,,z,1490,False,False,
1,2,62,study,0,female,Latino,male,Black,happy,,,,,m,1158,False,False,
1,2,63,study,0,female,Black,female,White,angry,,,,,z,749,True,False,
1,2,64,study,0,female,Asian,male,White,happy,,,,,m,846,False,False,
1,2,65,study,0,male,Black,male,White,angry,,,,,m,1114,True,False,
1,2,66,study,0,male,Asian,male,Black,neutral,,,,,m,975,True,False,
1,2,67,study,0,male,Black,female,White,happy,,,,,z,1144,False,False,
1,2,68,study,0,female,White,male,White,neutral,,,,,m,1019,False,False,
1,2,69,study,0,female,Black,female,Black,angry,,,,,z,778,True,False,
1,2,70,study,0,male,Black,female,White,happy,,,,,z,1157,False,False,
1,2,71,study,0,female,Asian,female,Black,happy,,,,,z,1224,True,False,
1,2,72,study,0,female,Asian,female,White,neutral,,,,,z,2069,True,False,
1,2,73,study,0,female,Asian,female,White,neutral,,,,,z,1814,True,False,
1,2,74,study,0,male,White,female,Black,angry,,,,,m,1243,True,False,
1,2,75,study,0,male,Black,male,Black,happy,,,,,m,1006,True,False,
1,2,76,study,0,female,Black,female,Black,angry,,,,,z,861,True,False,
1,2,77,study,0,male,Asian,female,Black,angry,,,,,z,1359,False,False,
1,2,78,study,0,female,Asian,male,Black,happy,,,,,m,726,False,False,
1,2,79,study,0,female,Latino,male,Black,angry,,,,,z,1649,True,False,
1,2,80,study,0,male,White,male,White,happy,,,,,z,1163,False,False,
1,2,81,study,0,male,White,female,White,neutral,,,,,z,1695,False,False,
1,2,82,study,0,female,Black,male,Black,angry,,,,,m,1561,False,False,
1,2,83,study,0,male,White,male,Black,angry,,,,,m,1295,True,False,
1,2,84,study,0,male,White,female,Black,happy,,,,,z,1281,False,False,
1,2,85,study,0,female,Black,female,White,happy,,,,,z,1272,True,False,
1,2,86,study,0,female,Latino,male,Black,angry,,,,,m,976,False,False,
1,2,87,study,0,female,Black,male,Black,neutral,,,,,m,1356,False,False,
1,2,88,study,0,female,Latino,male,Black,neutral,,,,,m,1599,False,False,
1,2,89,study,0,male,Black,male,Black,happy,,,,,m,1643,True,False,
1,2,90,study,0,male,White,female,White,neutral,,,,,z,1224,False,False,
1,2,91,study,1,male,Asian,female,White,angry,,,,,z,1809,False,False,
1,2,92,study,1,female,White,female,White,neutral,,,,,z,1132,True,False,
1,2,93,study,1,female,Latino,male,White,angry,,,,,m,1211,False,False,
1,2,94,study,1,female,Black,male,White,angry,,,,,m,2400,False,False,
1,2,95,study,1,female,Black,female,Black,happy,,,,,z,1101,True,False,
1,2,96,study,1,male,White,male,White,happy,,,,,m,1148,True,False,
1,2,97,study,1,male,Latino,male,Black,happy,,,,,z,1738,False,False,
1,2,98,study,1,female,Black,female,White,neutral,,,,,z,2186,True,False,
1,2,99,study,1,female,White,male,Black,happy,,,,,m,1082,False,False,
1,2,100,study,1,female,Latino,female,White,angry,,,,,z,1007,True,False,
1,2,101,study,1,male,Black,female,White,angry,,,,,z,1241,False,False,
1,2,102,study,1,male,Latino,male,White,angry,,,,,m,1365,True,False,
1,2,103,study,1,male,White,male,Black,neutral,,,,,m,1561,True,False,
1,2,104,study,1,male,White,male,White,neutral,,,,,m,1040,True,False,
1,2,105,study,1,male,Black,male,Black,angry,,,,,m,892,True,False,
1,2,106,study,1,female,Latino,female,Black,angry,,,,,z,1322,True,False,
1,2,107,study,1,male,Asian,female,Black,neutral,,,,,z,1707,False,False,
1,2,108,study,1,female,Black,male,Black,neutral,,,,,m,835,False,False,
1,2,109,study,1,female,White,male,Black,happy,,,,,m,1479,False,False,
1,2,110,study,1,female,Black,female,Black,happy,,,,,m,2534,False,False,
1,2,111,study,1,female,Black,female,Black,neutral,,,,,z,1370,True,False,
1,2,112,study,1,male,White,female,Black,neutral,,,,,z,1880,False,False,
1,2,113,study,1,female,Asian,female,White,happy,,,,,z,1247,True,False,
1,2,114,study,1,male,White,male,Black,neutral,,,,,m,1474,True,False,
1,2,115,study,1,male,White,male,White,angry,,,,,m,1053,True,False,
1,2,116,study,1,male,White,female,White,angry,,,,,z,1978,False,False,
1,2,117,study,1,female,Asian,male,Black,neutral,,,,,m,1498,False,False,
1,2,118,study,1,male,Latino,male,White,neutral,,,,,m,978,True,False,
1,2,119,study,1,male,White,female,White,neutral,,,,,z,1870,False,False,
1,2,120,study,1,male,Asian,female,White,happy,,,,,z,1808,False,False,
1,2,121,test,0,female,Asian,female,White,happy,,,,intact,z,2583,False,False,
1,2,122,test,0,female,Latino,male,Black,angry,,,,intact,m,1690,True,False,
1,2,123,test,0,male,White,male,White,angry,,,,rearranged,,,False,True,
1,2,124,test,0,male,Black,male,Black,angry,,,,intact,m,1568,True,False,
1,2,125,test,0,female,Latino,male,White,angry,,,,rearranged,m,2028,False,False,
1,2,126,test,0,female,Asian,male,Black,happy,,,,rearranged,z,1887,True,False,
1,2,127,test,0,female,White,female,White,neutral,,,,intact,m,1447,True,False,
1,2,128,test,0,male,White,female,White,neutral,,,,intact,,,False,True,
1,2,129,test,0,male,White,male,White,happy,,,,intact,m,1091,True,False,
1,2,130,test,0,male,White,female,Black,neutral,,,,rearranged,z,719,True,False,
1,2,131,test,0,male,White,female,White,angry,,,,rearranged,z,948,True,False,
1,2,132,test,0,female,Black,male,Black,neutral,,,,rearranged,m,945,False,False,
1,2,133,test,0,male,White,male,Black,angry,,,,intact,z,770,False,False,
1,2,134,test,0,male,White,male,White,neutral,,,,rearranged,z,2042,True,False,
1,2,135,test,0,female,Asian,female,Black,happy,,,,intact,z,938,False,False,
1,2,136,test,0,female,Latino,female,Black,angry,,,,intact,z,990,False,False,
1,2,137,test,0,female,Black,female,Black,angry,,,,intact,z,1249,False,False,
1,2,138,test,0,male,Black,male,Black,happy,,,,intact,m,791,True,False,
1,2,139,test,0,female,White,male,Black,happy,,,,intact,z,773,False,False,
1,2,140,test,0,male,White,female,Black,neutral,,,,intact,z,695,False,False,
1,2,141,test,0,female,Latino,male,Black,neutral,,,,intact,m,912,True,False,
1,2,142,test,0,female,Black,male,Black,angry,,,,rearranged,z,1008,True,False,
1,2,143,test,0,female,Black,female,White,happy,,,,rearranged,z,924,True,False,
1,2,144,test,0,female,Black,female,Black,happy,,,,rearranged,z,1810,True,False,
1,2,145,test,0,female,Black,male,Black,neutral,,,,rearranged,,,False,True,
1,2,146,test,0,male,Latino,male,White,happy,,,,rearranged,m,1183,False,False,
1,2,147,test,0,male,White,male,Black,happy,,,,rearranged,z,1135,True,False,
1,2,148,test,0,male,Asian,female,White,happy,,,,rearranged,m,1783,False,False,
1,2,149,test,0,female,Asian,female,White,neutral,,,,rearranged,z,1751,True,False,
1,2,150,test,0,male,Black,female,White,angry,,,,rearranged,z,1034,True,False,
1,2,151,test,1,male,White,female,Black,angry,,,,intact,z,1414,False,False,
1,2,152,test,1,male,Asian,female,White,neutral,,,,rearranged,z,1444,True,False,
1,2,153,test,1,female,White,male,Black,happy,,,,intact,z,1301,False,False,
1,2,154,test,1,male,Black,female,White,happy,,,,intact,z,1385,False,False,
1,2,155,test,1,male,White,female,White,neutral,,,,intact,z,1474,False,False,
1,2,156,test,1,male,Black,female,Black,happy,,,,rearranged,z,1527,True,False,
1,2,157,test,1,female,Black,female,Black,happy,,,,rearranged,m,1424,False,False,
1,2,158,test,1,male,White,male,White,neutral,,,,rearranged,z,1260,True,False,
1,2,159,test,1,female,Black,female,White,neutral,,,,rearranged,z,1425,True,False,
1,2,160,test,1,male,Asian,female,White,happy,,,,intact,m,2729,True,False,
1,2,161,test,1,female,Latino,female,Black,angry,,,,rearranged,,,False,True,
1,2,162,test,1,female,Black,female,Black,neutral,,,,intact,z,2856,False,False,
1,2,163,test,1,female,Latino,male,White,angry,,,,rearranged,m,1017,False,False,
1,2,164,test,1,male,Asian,female,White,angry,,,,intact,m,1602,True,False,
1,2,165,test,1,male,White,male,Black,neutral,,,,intact,z,1073,False,False,
1,2,166,test,1,female,Black,female,White,angry,,,,rearranged,z,1715,True,False,
1,2,167,test,1,female,Asian,male,White,happy,,,,rearranged,z,1209,True,False,
1,2,168,test,1,male,Asian,female,Black,angry,,,,intact,z,1157,False,False,
1,2,169,test,1,female,Asian,male,Black,neutral,,,,rearranged,z,818,True,False,
1,2,170,test,1,male,Asian,male,Black,neutral,,,,intact,z,1367,False,False,
1,2,171,test,1,female,Black,female,White,angry,,,,intact,z,1664,False,False,
1,2,172,test,1,female,Latino,male,Black,happy,,,,intact,z,1328,False,False,
1,2,173,test,1,female,Asian,female,White,neutral,,,,intact,m,1152,True,False,
1,2,174,test,1,male,Latino,male,White,angry,,,,rearranged,z,1439,True,False,
1,2,175,test,1,male,Latino,male,Black,neutral,,,,rearranged,z,1791,True,False,
1,2,176,test,1,female,White,male,White,neutral,,,,intact,z,1351,False,False,
1,2,177,test,1,female,Black,male,Black,angry,,,,intact,z,1493,False,False,
1,2,178,test,1,male,Black,male,White,angry,,,,rearranged,z,1318,True,False,
1,2,179,test,1,male,Black,male,Black,happy,,,,intact,z,1191,False,False,
1,2,180,test,1,male,White,female,White,happy,,,,rearranged,z,1248,True,False,
2,2,1,study,0,male,White,female,Black,neutral,,,,,m,648,True,False,
2,2,2,study,0,male,Latino,female,White,neutral,,,,,z,1912,False,False,
2,2,3,study,0,male,White,female,White,angry,,,,,z,1455,False,False,
2,2,4,study,0,male,White,female,Black,angry,,,,,z,1929,False,False,
2,2,5,study,0,male,Black,female,Black,angry,,,,,z,2306,False,False,
2,2,6,study,0,male,Black,male,White,happy,,,,,m,1188,True,False,
2,2,7,study,0,female,Black,female,Black,angry,,,,,z,1045,True,False,
2,2,8,study,0,male,White,male,Black,neutral,,,,,z,1922,False,False,
2,2,9,study,0,female,White,female,Black,angry,,,,,z,1792,True,False,
2,2,10,study,0,female,Black,male,Black,neutral,,,,,z,2076,True,False,
2,2,11,study,0,female,White,female,White,angry,,,,,m,860,False,False,
2,2,12,study,0,female,Black,female,Black,neutral,,,,,z,1285,True,False,
2,2,13,study,0,female,White,female,Black,happy,,,,,z,1124,True,False,
2,2,14,study,0,female,White,female,Black,angry,,,,,z,1213,True,False,
2,2,15,study,0,female,Black,female,White,neutral,,,,,z,1304,True,False,
2,2,16,study,0,female,Asian,female,Black,happy,,,,,z,997,True,False,
2,2,17,study,0,female,White,female,Black,neutral,,,,,z,1097,True,False,
2,2,18,study,0,male,Latino,male,Black,angry,,,,,m,892,True,False,
2,2,19,study,0,male,Black,male,Black,angry,,,,,m,1311,True,False,
2,2,20,study,0,male,Latino,male,Black,neutral,,,,,m,951,True,False,
2,2,21,study,0,male,Latino,female,Black,neutral,,,,,z,1046,False,False,
2,2,22,study,0,male,White,female,Black,happy,,,,,m,1844,True,False,
2,2,23,study,0,female,Latino,male,White,neutral,,,,,m,1771,False,False,
2,2,24,study,0,female,Black,male,White,happy,,,,,m,1652,False,False,
2,2,25,study,0,female,Black,female,Black,happy,,,,,z,1315,True,False,
2,2,26,study,0,female,Asian,male,Black,neutral,,,,,m,1465,False,False,
2,2,27,study,0,female,Asian,male,White,angry,,,,,m,995,False,False,
2,2,28,study,0,female,White,female,Black,neutral,,,,,z,1358,True,False,
2,2,29,study,0,male,Black,male,White,neutral,,,,,m,1286,True,False,
2,2,30,study,0,female,Asian,female,White,angry,,,,,z,1101,True,False,
2,2,31,study,1,female,Latino,male,Black,happy,,,,,z,1110,True,False,
2,2,32,study,1,female,Black,female,Black,neutral,,,,,z,1145,True,False,
2,2,33,study,1,male,White,male,White,happy,,,,,m,1348,True,False,
2,2,34,study,1,male,Asian,male,White,happy,,,,,m,1334,True,False,
2,2,35,study,1,female,Black,male,White,neutral,,,,,m,1307,False,False,
2,2,36,study,1,female,Black,male,Black,happy,,,,,z,1266,True,False,
2,2,37,study,1,male,White,male,White,neutral,,,,,m,927,True,False,
2,2,38,study,1,male,Black,female,Black,angry,,,,,z,1340,False,False,
2,2,39,study,1,male,Black,male,White,happy,,,,,m,1410,True,False,
2,2,40,study,1,female,Asian,male,Black,angry,,,,,z,1682,True,False,
2,2,41,study,1,female,Black,male,Black,happy,,,,,m,1190,False,False,
2,2,42,study,1,female,Black,male,Black,happy,,,,,z,1487,True,False,
2,2,43,study,1,male,Asian,male,Black,neutral,,,,,m,1112,True,False,
2,2,44,study,1,male,Asian,female,White,happy,,,,,z,1059,False,False,
2,2,45,study,1,female,Latino,male,Black,angry,,,,,m,1562,False,False,
2,2,46,study,1,female,White,female,White,happy,,,,,m,1275,False,False,
2,2,47,study,1,female,White,male,White,neutral,,,,,m,1143,False,False,
2,2,48,study,1,female,Asian,male,Black,angry,,,,,m,852,False,False,
2,2,49,study,1,male,Black,male,White,angry,,,,,z,1205,False,False,
2,2,50,study,1,male,Black,female,White,happy,,,,,z,1128,False,False,
2,2,51,study,1,female,White,male,Black,angry,,,,,m,941,False,False,
2,2,52,study,1,female,White,female,White,happy,,,,,z,1195,True,False,
2,2,53,study,1,male,Latino,male,Black,angry,,,,,m,791,True,False,
2,2,54,study,1,male,Black,male,Black,angry,,,,,m,1048,True,False,
2,2,55,study,1,male,White,female,White,neutral,,,,,z,1552,False,False,
2,2,56,study,1,male,White,male,Black,happy,,,,,m,978,True,False,
2,2,57,study,1,male,White,female,White,neutral,,,,,z,902,False,False,
2,2,58,study,1,male,Black,female,Black,angry,,,,,m,1004,True,False,
2,2,59,study,1,male,White,female,Black,happy,,,,,z,1032,False,False,
2,2,60,study,1,male,Black,female,Black,happy,,,,,z,1376,False,False,
2,2,61,study,0,female,White,female,Black,angry,,,,,z,1186,True,False,
2,2,62,study,0,male,Black,female,Black,happy,,,,,m,1567,True,False,
2,2,63,study,0,female,Asian,male,Black,angry,,,,,z,973,True,False,
2,2,64,study,0,male,Latino,female,Black,neutral,,,,,m,1118,True,False,
2,2,65,study,0,female,Black,female,Black,happy,,,,,z,941,True,False,
2,2,66,study,0,male,Asian,female,White,happy,,,,,m,1226,True,False,
2,2,67,study,0,male,Black,male,White,happy,,,,,m,1008,True,False,
2,2,68,study,0,male,White,female,White,neutral,,,,,m,1556,True,False,
2,2,69,study,0,male,White,male,Black,happy,,,,,m,854,True,False,
2,2,70,study,0,female,Latino,male,Black,happy,,,,,z,817,True,False,
2,2,71,study,0,female,Asian,male,Black,angry,,,,,z,737,True,False,
2,2,72,study,0,female,Asian,male,White,angry,,,,,z,1023,True,False,
2,2,73,study,0,female,Black,male,Black,happy,,,,,z,835,True,False,
2,2,74,study,0,male,White,male,Black,neutral,,,,,z,885,False,False,
2,2,75,study,0,female,Latino,male,White,neutral,,,,,z,1216,True,False,
2,2,76,study,0,female,White,female,Black,happy,,,,,z,933,True,False,
2,2,77,study,0,male,Latino,male,Black,angry,,,,,m,1202,True,False,
2,2,78,study,0,female,White,female,White,happy,,,,,z,1051,True,False,
2,2,79,study,0,female,White,female,White,happy,,,,,m,1139,False,False,
2,2,80,study,0,male,Latino,male,Black,angry,,,,,m,837,True,False,
2,2,81,study,0,male,Black,female,Black,angry,,,,,m,771,True,False,
2,2,82,study,0,male,Black,female,White,happy,,,,,m,779,True,False,
2,2,83,study,0,male,White,male,White,happy,,,,,m,906,True,False,
2,2,84,study,0,male,Black,female,Black,angry,,,,,m,830,True,False,
2,2,85,study,0,male,Latino,female,White,neutral,,,,,m,1603,True,False,
2,2,86,study,0,female,Asian,female,White,angry,,,,,z,965,True,False,
2,2,87,study,0,male,Black,male,White,neutral,,,,,m,1256,True,False,
2,2,88,study,0,female,Asian,male,Black,neutral,,,,,z,990,True,False,
2,2,89,study,0,male,Black,male,Black,angry,,,,,m,787,True,False,
2,2,90,study,0,male,White,female,Black,happy,,,,,m,935,True,False,
2,2,91,study,1,male,Black,male,White,happy,,,,,m,830,True,False,
2,2,92,study,1,female,White,male,White,neutral,,,,,z,985,True,False,
2,2,93,study,1,male,White,male,White,neutral,,,,,m,724,True,False,
2,2,94,study,1,male,Latino,male,Black,neutral,,,,,m,769,True,False,
2,2,95,study,1,female,White,female,Black,neutral,,,,,z,845,True,False,
2,2,96,study,1,male,Asian,male,White,happy,,,,,m,805,True,False,
2,2,97,study,1,female,Black,female,Black,neutral,,,,,z,1060,True,False,
2,2,98,study,1,female,Black,female,Black,neutral,,,,,z,1565,True,False,
2,2,99,study,1,female,Black,male,Black,happy,,,,,m,1361,False,False,
2,2,100,study,1,female,White,male,Black,angry,,,,,z,832,True,False,
2,2,101,study,1,female,Black,male,White,neutral,,,,,m,1123,False,False,
2,2,102,study,1,female,Black,male,Black,happy,,,,,z,872,True,False,
2,2,103,study,1,female,White,female,Black,angry,,,,,z,1026,True,False,
2,2,104,study,1,male,White,female,Black,neutral,,,,,z,842,False,False,
2,2,105,study,1,female,Black,female,White,neutral,,,,,z,1400,True,False,
2,2,106,study,1,female,Black,female,Black,angry,,,,,z,831,True,False,
2,2,107,study,1,male,White,female,White,neutral,,,,,m,1083,True,False,
2,2,108,study,1,male,Black,male,Black,angry,,,,,m,602,True,False,
2,2,109,study,1,female,Black,male,Black,neutral,,,,,z,1063,True,False,
2,2,110,study,1,male,White,female,Black,happy,,,,,m,1005,True,False,
2,2,111,study,1,male,Asian,male,Black,neutral,,,,,m,1046,True,False,
2,2,112,study,1,male,Black,male,White,angry,,,,,m,703,True,False,
2,2,113,study,1,male,White,female,Black,angry,,,,,m,689,True,False,
2,2,114,study,1,female,White,female,White,angry,,,,,z,1660,True,False,
2,2,115,study,1,male,Black,female,Black,angry,,,,,m,1054,True,False,
2,2,116,study,1,male,White,female,White,angry,,,,,m,866,True,False,
2,2,117,study,1,female,White,female,Black,neutral,,,,,z,1061,True,False,
2,2,118,study,1,female,Latino,male,Black,angry,,,,,z,794,True,False,
2,2,119,study,1,female,Black,male,White,happy,,,,,z,959,True,False,
2,2,120,study,1,female,Asian,female,Black,happy,,,,,z,890,True,False,
2,2,121,test,0,male,Black,female,Black,angry,,,,intact,z,935,True,False,
2,2,122,test,0,female,Latino,male,Black,angry,,,,intact,z,541,True,False,
2,2,123,test,0,female,White,female,White,neutral,,,,rearranged,m,882,True,False,
2,2,124,test,0,female,White,female,Black,happy,,,,rearranged,m,858,True,False,
2,2,125,test,0,male,White,female,White,neutral,,,,intact,z,543,True,False,
2,2,126,test,0,female,White,female,Black,happy,,,,intact,m,470,False,False,
2,2,127,test,0,male,White,male,White,happy,,,,intact,z,452,True,False,
2,2,128,test,0,male,White,female,Black,angry,,,,rearranged,z,364,False,False,
2,2,129,test,0,female,Asian,female,White,angry,,,,rearranged,z,583,False,False,
2,2,130,test,0,female,Black,male,Black,happy,,,,rearranged,m,619,True,False,
2,2,131,test,0,female,Black,male,Black,neutral,,,,rearranged,z,684,False,False,
2,2,132,test,0,female,Asian,male,Black,angry,,,,rearranged,z,803,False,False,
2,2,133,test,0,female,White,female,Black,angry,,,,intact,z,367,True,False,
2,2,134,test,0,male,Black,male,Black,angry,,,,rearranged,z,711,False,False,
2,2,135,test,0,female,Black,female,White,happy,,,,rearranged,m,819,True,False,
2,2,136,test,0,male,White,female,White,neutral,,,,intact,z,632,True,False,
2,2,137,test,0,female,Black,female,Black,angry,,,,intact,z,514,True,False,
2,2,138,test,0,female,White,female,White,angry,,,,rearranged,m,1383,True,False,
2,2,139,test,0,male,White,male,Black,neutral,,,,intact,m,895,False,False,
2,2,140,test,0,male,Latino,male,Black,angry,,,,intact,z,1140,True,False,
2,2,141,test,0,male,Black,female,Black,angry,,,,intact,m,1110,False,False,
2,2,142,test,0,male,Black,female,White,angry,,,,rearranged,z,1069,False,False,
2,2,143,test,0,male,Black,male,Black,neutral,,,,rearranged,z,864,False,False,
2,2,144,test,0,male,White,female,Black,neutral,,,,rearranged,m,467,True,False,
2,2,145,test,0,female,Black,male,Black,happy,,,,rearranged,z,523,False,False,
2,2,146,test,0,male,Black,male,Black,angry,,,,intact,z,910,True,False,
2,2,147,test,0,female,Black,female,Black,neutral,,,,intact,m,513,False,False,
2,2,148,test,0,female,Asian,male,Black,angry,,,,rearranged,z,412,False,False,
2,2,149,test,0,male,Asian,female,Black,happy,,,,rearranged,m,446,True,False,
2,2,150,test,0,male,Latino,male,Black,angry,,,,rearranged,z,1108,False,False,
2,2,151,test,1,female,Black,male,Black,happy,,,,intact,z,511,True,False,
2,2,152,test,1,male,Black,female,Black,happy,,,,intact,z,483,True,False,
2,2,153,test,1,female,Black,male,White,neutral,,,,rearranged,m,305,True,False,
2,2,154,test,1,female,Black,female,Black,neutral,,,,rearranged,z,345,False,False,
2,2,155,test,1,female,White,female,Black,neutral,,,,intact,z,637,True,False,
2,2,156,test,1,female,White,female,White,happy,,,,intact,m,349,False,False,
2,2,157,test,1,female,Black,male,White,happy,,,,intact,z,588,True,False,
2,2,158,test,1,female,White,male,Black,angry,,,,rearranged,z,813,False,False,
2,2,159,test,1,female,Latino,male,Black,happy,,,,intact,m,536,False,False,
2,2,160,test,1,female,Asian,male,Black,neutral,,,,intact,z,1061,True,False,
2,2,161,test,1,female,Asian,female,Black,happy,,,,rearranged,z,421,False,False,
2,2,162,test,1,male,Latino,female,Black,neutral,,,,rearranged,m,648,True,False,
2,2,163,test,1,female,Asian,male,White,angry,,,,intact,z,1180,True,False,
2,2,164,test,1,male,White,male,White,happy,,,,rearranged,z,667,False,False,
2,2,165,test,1,female,Black,female,Black,neutral,,,,intact,m,424,False,False,
2,2,166,test,1,male,Latino,female,White,neutral,,,,intact,z,468,True,False,
2,2,167,test,1,male,White,female,Black,happy,,,,intact,z,808,True,False,
2,2,168,test,1,male,White,male,White,neutral,,,,rearranged,z,789,False,False,
2,2,169,test,1,female,White,female,Black,angry,,,,intact,m,549,False,False,
2,2,170,test,1,male,White,female,Black,angry,,,,intact,z,404,True,False,
2,2,171,test,1,male,Latino,male,Black,neutral,,,,intact,z,1022,True,False,
2,2,172,test,1,female,White,male,White,neutral,,,,intact,m,507,False,False,
2,2,173,test,1,male,Asian,male,White,happy,,,,intact,z,458,True,False,
2,2,174,test,1,male,Black,male,White,angry,,,,rearranged,z,889,False,False,
2,2,175,test,1,female,Latino,male,White,neutral,,,,rearranged,m,888,True,False,
2,2,176,test,1,male,White,female,White,happy,,,,rearranged,z,811,False,False,
2,2,177,test,1,male,Black,female,White,happy,,,,rearranged,z,722,False,False,
2,2,178,test,1,male,Black,male,White,happy,,,,intact,z,1004,True,False,
2,2,179,test,1,male,Asian,male,White,neutral,,,,rearranged,m,813,True,False,
2,2,180,test,1,male,Black,male,Black,happy,,,,rearranged,z,553,False,False,
3,2,1,study,0,female,Black,male,Black,happy,,,,,z,927,True,False,
3,2,2,study,0,male,Black,female,Black,angry,,,,,m,1036,True,False,
3,2,3,study,0,male,Asian,female,White,happy,,,,,m,778,True,False,
3,2,4,study,0,male,Black,male,Black,neutral,,,,,m,575,True,False,
3,2,5,study,0,female,Latino,male,White,angry,,,,,z,1199,True,False,
3,2,6,study,0,female,Latino,female,White,angry,,,,,z,1151,True,False,
3,2,7,study,0,female,Asian,female,Black,angry,,,,,z,1052,True,False,
